장소,지역,주소,구분,위도,경도,전화번호,홈페이지,제한조건
강릉안반데기관광농원,강릉,강원 강릉시  왕산면 안반데기1길 203,관광지,37.608741,128.7400255,033-644-8552,,
안인항,강릉,강원 강릉시 강동면 안인진길 47,관광지,37.73608823,128.9885912,033-660-3598,,
하슬라아트월드,강릉,강원 강릉시 강동면 율곡로 1441,관광지,37.70545629,129.0078449,033-644-9411,http://museumhaslla.com,소형
지아니펜션,강릉,강원 강릉시 강동면 정동3길 32-11,숙소,37.6859321,129.0343021,0507-1439-8184,https://지아니펜션.kr,
정동진,강릉,강원 강릉시 강동면 정동역길 17,관광지,37.6913387,129.0328303,033-640-4537,,
강문해변,강릉,강원 강릉시 강문동 159-43,관광지,37.7947547,128.9188938,033-640-4920,,
강문솟대다리,강릉,강원 강릉시 강문동 248-4,관광지,37.79777324,128.9167459,033-660-3864,,
경포해변,강릉,강원 강릉시 강문동 산1,관광지,37.80239228,128.911058,033-640-4531,,
체크이스트,강릉,강원 강릉시 강변북길 153,식당/카페,37.76619051,128.9129247,0502-5553-1998,https://smartstore.naver.com/checkeast,
월화거리,강릉,강원 강릉시 경강로 2111,관광지,37.75589591,128.8974541,033-640-5643,,
오버웨잇 강릉본점,강릉,강원 강릉시 경포로371번길 11,식당/카페,37.79620112,128.8961822,0507-1349-2192,https://www.instagram.com/overweight_bakery,
패티김 강릉,강릉,"강원 강릉시 난설헌로 201, 1층",식당/카페,37.79121422,128.9117993,033-655-0941,https://www.instagram.com/pattykim_gn,
카페 덕덕,강릉,강원 강릉시 난설헌로 219번길 20-5,식당/카페,37.79429638,128.9139488,0507-1423-1535,https://www.instagram.com/cafe_virtue_,
경포코지펜션,강릉,강원 강릉시 난설헌로219번길 22,숙소,37.7943162,128.9134831,010-5894-7753,http://www.cozypension.co.kr,10kg 이하
댕댕클럽,강릉,강원 강릉시 사임당로 141 4층,식당/카페,37.75729621,128.8654626,033-647-7000,http://instagram.com/dangdangclub2,
사천해변,강릉,강원 강릉시 사천면 방동리 산282-6,관광지,37.82998357,128.8779563,033-640-4144,,
순포해변,강릉,강원 강릉시 사천면 산대월리 산 1,관광지,37.82284256,128.8859931,033-640-4757,,
고심쌀롱,강릉,강원 강릉시 사천면 진리해변길 131 2층,식당/카페,37.8424615,128.8737648,,https://www.instagram.com/gosimsalon,
하평해변,강릉,강원 강릉시 사천면 진리해변길 155,관광지,37.84414441,128.8719606,033-660-3657,,
사천진항,강릉,강원 강릉시 사천면 진리해변길 68-23,관광지,37.83680428,128.8781344,033-640-4414,,
코스테펜션,강릉,강원 강릉시 사천면 해안로 725-2,숙소,37.81954098,128.8895007,0507-1462-6000,http://www.costes.co.kr/,
오늘은바다 애견펜션,강릉,강원 강릉시 사천면 해안로 904-11,숙소,37.83192392,128.875829,010-2243-7289,https://homepage.staymg.com/강릉오늘은바다애견펜션,
해피몽펜션,강릉,강원 강릉시 성산면 삼왕길 171-13,숙소,37.7563505,128.7942527,010-5242-2290,http://www.happymong.kr,
송정해변,강릉,강원 강릉시 송정길30번안길 20-3,관광지,37.77685135,128.9381278,033-640-4922,,
순긋해변,강릉,강원 강릉시 안현동 224,관광지,37.81535728,128.8945213,033-640-4414,,
나인원펜션,강릉,강원 강릉시 안현로 114-12,숙소,37.80251456,128.8705461,1661-7396,,
갈매기다방,강릉,강원 강릉시 연곡면 영진길 63 1층,식당/카페,37.8702987,128.8429918,0507-1317-1874,https://www.instagram.com/kkilook_gn,
영진항,강릉,강원 강릉시 연곡면 영진리 2-3,관광지,37.86785264,128.848319,033-662-5254,,
영진해변,강릉,강원 강릉시 연곡면 영진리 72-2,관광지,37.86895106,128.8450214,033-640-5422,,
송림315,강릉,강원 강릉시 연곡면 진고개로 2538,숙소,37.85475844,128.8169774,0507-1448-5236,http://pf.kakao.com/_ISFhb/chat,
카리스펜션,강릉,강원 강릉시 연곡면 해안로 1279,숙소,37.85730937,128.8528343,033-642-0000,http://www.karisps.com,
영진횟집,강릉,강원 강릉시 연곡면 해안로 1427,식당/카페,37.86797609,128.847462,033-662-7979,,
브라질,강릉,강원 강릉시 연곡면 해안로 1439,식당/카페,37.86826637,128.8463119,033-662-1259,,
옛날초당순두부,강릉,강원 강릉시 운정길 141,식당/카페,37.78670555,128.8927564,033-641-9582,,
더 다온,강릉,강원 강릉시 율곡로 2886,숙소,37.76089132,128.8946351,010-7526-7015,,
세레니타,강릉,강원 강릉시 율곡로 3034,식당/카페,37.7731495,128.8902565,0507-1369-3475,http://instagram.com/serenita_speciality,
1938슬로우,강릉,강원 강릉시 임영로141번길 4-6 1938slow,식당/카페,37.75394887,128.8910699,033-646-4649,,
엠꼼마카롱,강릉,강원 강릉시 저동골길 40-13 1층,식당/카페,37.79964445,128.8947458,,http://www.mcommemacaron.co.kr/,
카페루아,강릉,강원 강릉시 주문진읍 아래강정길 8-47 식당/카페루아,식당/카페,37.9076199,128.8030869,033-643-3702,,없음
SL호텔 강릉,강릉,강원 강릉시 주문진읍 주문로 59,숙소,37.88921425,128.8254362,033-920-1800,,
아들바위공원,강릉,강원 강릉시 주문진읍 주문리 791-47,관광지,37.90588059,128.8301068,033-640-4535,,
소돌해변,강릉,강원 강릉시 주문진읍 주문리 800-3,관광지,37.90680516,128.8266664,033-661-5692,,
주문진해변,강릉,강원 강릉시 주문진읍 주문북로 210,관광지,37.91013153,128.8176761,033-640-4535,,
주문진항,강릉,강원 강릉시 주문진읍 해안로 1758-22,관광지,37.89220474,128.8302267,033-662-3639,,
썸머키친,강릉,강원 강릉시 죽헌길 67-6,식당/카페,37.77494514,128.8750889,070-7724-5636,http://instagram.com/summerkitchen,
따스네(ddasne),강릉,강원 강릉시 창해로 14번길 64,관광지,37.77039067,128.9514353,0507-1411-7107,https://smartstore.naver.com/ddasne,
엔드 투 앤드,강릉,강원 강릉시 창해로 245,식당/카페,37.78741682,128.9260163,,https://www.instagram.com/end_toand,
